seed,field_reps,train_noise,include_allc,eval_noise,evaluation_set,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation
0,1,0.0,False,0.0,common_field,Tester,2000000000002,2.05,2.05,0.3625,0.3625,0.0375
0,1,0.0,False,0.0,common_field,Tester,2000000000003,2.1,2.1,0.4,0.4,0.1
0,1,0.0,False,0.0,common_field,Tester,2000000000004,0.55,2.925,0.4875,0.0125,0.0125
0,1,0.0,False,0.0,common_field,Tester,2000000000005,2.1125,2.05,0.375,0.3875,0.0625
0,1,0.0,False,0.0,common_field,Tester,2000000000006,2.1125,2.05,0.375,0.3875,0.0625
0,1,0.0,False,0.0,common_field,Tester,2000000000007,2.225,2.225,0.4375,0.4375,0.0875
0,1,0.0,False,0.0,common_field,Tester,2000000000008,2.1625,2.1625,0.4125,0.4125,0.075
0,1,0.0,False,0.0,common_field,Tester,2000000000009,2.075,2.075,0.375,0.375,0.05
0,1,0.0,False,0.0,common_field,Tester,2000000000010,2.2125,2.15,0.4125,0.425,0.075
0,1,0.0,False,0.0,common_field,Tester,2000000000011,2.2375,2.175,0.425,0.4375,0.0875
0,1,0.0,False,0.0,common_field,Tester,2000000000012,0.525,3.025,0.5125,0.0125,0.0125
0,1,0.0,False,0.0,common_field,Tester,2000000000013,2.2,2.2,0.4375,0.4375,0.1125
0,1,0.0,False,0.0,common_field,Tester,2000000000014,2.1375,2.1375,0.425,0.425,0.1375
0,1,0.0,False,0.0,common_field,Tester,2000000000015,2.2125,2.15,0.4125,0.425,0.075
0,1,0.0,False,0.0,common_field,Tester,2000000000016,2.225,2.1625,0.4375,0.45,0.1375
0,1,0.0,False,0.0,common_field,Tester,2000000000017,2.1125,2.05,0.375,0.3875,0.0625
0,1,0.0,False,0.0,common_field,Tester,2000000000018,2.2375,2.1125,0.4,0.425,0.0625
0,1,0.0,False,0.0,common_field,Tester,2000000000019,2.0875,2.025,0.375,0.3875,0.0875
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000000,2.575,1.8875,0.4375,0.575,0.2875
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000001,2.7,1.575,0.35,0.575,0.25
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000002,2.725,1.5375,0.3375,0.575,0.2375
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000003,2.6625,1.7875,0.425,0.6,0.3125
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000004,2.625,1.8125,0.425,0.5875,0.3
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000005,2.7,1.575,0.35,0.575,0.25
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000006,2.7,1.7,0.4,0.6,0.3
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000007,2.5125,1.95,0.45,0.5625,0.2875
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000008,2.5125,1.8875,0.425,0.55,0.2625
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000009,2.6625,1.725,0.4,0.5875,0.2875
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000010,2.4375,1.875,0.4,0.5125,0.2125
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000011,2.6125,1.8625,0.4375,0.5875,0.3
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000012,2.4375,2.125,0.5,0.5625,0.3125
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000013,2.575,1.95,0.4625,0.5875,0.3125
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000014,2.4625,1.9625,0.4375,0.5375,0.25
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000015,2.325,2.0125,0.425,0.4875,0.2
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000016,2.4375,2.0,0.45,0.5375,0.2625
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000017,2.575,1.7625,0.3875,0.55,0.2375
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000018,2.5,1.9375,0.4375,0.55,0.2625
0,1,0.0,False,0.0,common_field,Pavlov (Win-Stay Lose-Shift),2000000000019,2.8125,1.5625,0.375,0.625,0.3125
