seed,field_reps,train_noise,include_allc,p0,pCC,pCD,pDC,pDD,heldout_payoff,common_payoff,self_cooperation,training_payoff,training_matches,training_seconds
2,1,0.05,False,0.42987395699971265,1.0,0.12411411614555747,0.6896276492256497,0.400055460166108,1.7626785714285713,1.7626785714285713,0.70875,2.085714285714286,4900,0.7599381019972498
2,1,0.05,True,0.45332200060162825,0.2908546637379401,0.1120331017747318,0.0,0.42041872861238117,2.1740625000000002,1.8292857142857142,0.285,2.284375,5600,0.9320047740038717
2,5,0.0,False,0.5844189731728338,0.04752311751649251,0.2509277981586302,0.10476149683188703,1.0,1.787232142857143,1.787232142857143,0.501875,1.8235714285714284,24500,4.6812392650026595
2,5,0.0,True,0.4802678677563397,0.04858410695807945,0.18287139603917713,0.0,1.0,2.2067968749999998,1.8100892857142856,0.504375,2.223125,28000,4.1512196160038
2,5,0.05,False,0.5526121740897857,0.048342023235179034,0.21430302610985724,0.0,0.645636291791432,1.8538392857142858,1.8538392857142858,0.37125,1.8635714285714287,24500,3.7779355170059716
2,5,0.05,True,0.8892678551387563,0.035916952668305364,0.12921064572589808,0.0,0.854577475130735,2.195546875,1.8550892857142858,0.424375,2.2328125,28000,4.5811823480034946
3,1,0.0,False,0.8964898907077345,0.9986805310633182,0.2829906315660623,0.4671433561929578,0.11175054941818081,2.075625,2.075625,0.934375,2.210714285714286,4900,0.7424120100040454
3,1,0.0,True,0.6204656909340024,1.0,0.7216291013523601,0.00314686280320952,0.04055545482415969,2.30859375,2.1214285714285714,0.516875,2.45625,5600,0.8517641189973801
3,1,0.05,False,0.48246258695495303,0.6533996185406301,0.05929766300136222,0.3931490143513418,0.5442011938887137,1.7173214285714287,1.7173214285714287,0.41,1.9446428571428573,4900,0.841757988993777
3,1,0.05,True,0.6123535746017336,0.1818946763773555,0.10132608220355785,0.014298242532688228,0.5057977588921948,2.14484375,1.8040178571428571,0.32,2.2671875,5600,1.0660031590086874
3,5,0.0,False,0.8424543529028072,1.0,0.3706740769238955,0.351301328071532,0.20052603129051022,2.1101785714285715,2.1101785714285715,0.98875,2.2728571428571427,24500,3.4073245610052254
3,5,0.0,True,0.9962491525706243,1.0,0.2500315695635332,0.9392103004903076,0.07918250015831807,2.278046875,2.1749107142857143,1.0,2.323125,28000,3.847330108997994
3,5,0.05,False,0.3765253474650513,1.0,0.37752507233491966,0.12203196495423166,0.42657566015213666,1.797232142857143,1.797232142857143,0.638125,1.925357142857143,24500,4.378049316990655
3,5,0.05,True,0.1765885515104844,0.30840943647332036,0.0,0.0,0.5268475752362267,2.127421875,1.7845535714285714,0.319375,2.2199999999999998,28000,5.474821173993405
4,1,0.0,False,0.44035943527495625,1.0,0.08545811277116919,0.11808128626836792,0.8460823519362038,2.010535714285714,2.010535714285714,0.97875,2.3839285714285716,4900,1.0062211719923653
4,1,0.0,True,0.3502008874511776,1.0,0.29402232105179815,0.0,0.5293542198076712,2.340390625,2.0890178571428573,0.95125,2.73125,5600,1.2252377039985731
4,1,0.05,False,0.05120995732944551,0.9328991170004521,0.3932452530875883,0.2504785879155959,0.36315941820642433,1.8264285714285715,1.8264285714285715,0.53875,2.0267857142857144,4900,1.0035993900091853
4,1,0.05,True,0.4241929670298894,0.22884439281535715,0.09008645991803849,0.02176109781772711,0.45510800076974156,2.18515625,1.8371428571428572,0.31,2.26875,5600,1.4391284689918393
4,5,0.0,False,0.10342322466290979,1.0,0.1812612704824218,0.07210995169460986,0.5742060786831787,2.056785714285714,2.056785714285714,0.95875,2.2667857142857146,24500,3.919111053997767
4,5,0.0,True,0.13363795073658283,0.9926487747217725,0.43023622455714977,0.0012840675385643735,0.3996557005381571,2.3775,2.044107142857143,0.8025,2.5546875,28000,4.000823231996037
4,5,0.05,False,0.16513228413953893,0.06681216666090897,0.10841253499032538,0.07756997426405474,0.6539122184842006,1.8352678571428571,1.8352678571428571,0.369375,1.8925,24500,4.86069763499836
4,5,0.05,True,0.4129488588116622,0.1438781406194383,0.15603413417584666,0.0,0.4345668903868501,2.203125,1.8482142857142858,0.308125,2.191875,28000,4.719219093996799
