seed,regime,i,j,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation,mean_cooperation,mean_payoff
2,mixed,15,16,"Memory-1(0.4695970984972485, 0.19067298022849136, 0.02434222157612284, 0.11059392865688496, 0.019317825712530056)",3000200027024,1.3375,1.275,0.1,0.1125,0.0125,0.10625000000000001,1.30625
2,mixed,15,16,"Memory-1(0.4695970984972485, 0.19067298022849136, 0.02434222157612284, 0.11059392865688496, 0.019317825712530056)",3000200027026,1.1625,1.225,0.075,0.0625,0.0125,0.06875,1.19375
2,mixed,15,16,"Memory-1(0.4695970984972485, 0.19067298022849136, 0.02434222157612284, 0.11059392865688496, 0.019317825712530056)",3000200027028,1.05,1.175,0.05,0.025,0.0,0.037500000000000006,1.1125
2,mixed,15,16,"Memory-1(0.4695970984972485, 0.19067298022849136, 0.02434222157612284, 0.11059392865688496, 0.019317825712530056)",3000200027030,1.1625,1.1,0.0375,0.05,0.0,0.04375,1.13125
2,mixed,15,16,"Memory-1(0.4695970984972485, 0.19067298022849136, 0.02434222157612284, 0.11059392865688496, 0.019317825712530056)",3000200027032,1.3,1.2375,0.0875,0.1,0.0125,0.09375,1.26875
2,mixed,15,16,"Memory-1(0.4695970984972485, 0.19067298022849136, 0.02434222157612284, 0.11059392865688496, 0.019317825712530056)",3000200027034,1.2625,1.2,0.075,0.0875,0.0125,0.08124999999999999,1.23125
2,mixed,15,16,"Memory-1(0.4695970984972485, 0.19067298022849136, 0.02434222157612284, 0.11059392865688496, 0.019317825712530056)",3000200027036,1.2625,1.2625,0.0875,0.0875,0.0,0.0875,1.2625
2,mixed,15,16,"Memory-1(0.4695970984972485, 0.19067298022849136, 0.02434222157612284, 0.11059392865688496, 0.019317825712530056)",3000200027038,1.1875,1.1875,0.0625,0.0625,0.0,0.0625,1.1875
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030200,1.125,1.1875,0.0625,0.05,0.0125,0.05625,1.15625
2,mixed,15,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030202,1.1875,1.1875,0.0625,0.0625,0.0,0.0625,1.1875
