seed,regime,evaluation_set,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation
0,mixed,common_field,Tit For Tat,3000010000008,1.4125,1.1625,0.0875,0.1375,0.05
0,mixed,common_field,Tit For Tat,3000010000010,1.4875,1.175,0.0875,0.15,0.025
0,mixed,common_field,Tit For Tat,3000010000012,1.45,1.2,0.0875,0.1375,0.0125
0,mixed,common_field,Tit For Tat,3000010000014,1.4625,1.3375,0.125,0.15,0.0125
0,mixed,common_field,Tit For Tat,3000010000016,1.45,1.1375,0.075,0.1375,0.025
0,mixed,common_field,Tit For Tat,3000010000018,1.5625,1.25,0.1125,0.175,0.025
0,mixed,common_field,Tit For Tat,3000010000020,1.4375,1.3125,0.1125,0.1375,0.0
0,mixed,common_field,Tit For Tat,3000010000022,1.45,1.1375,0.075,0.1375,0.025
0,mixed,common_field,Tit For Tat,3000010000024,1.525,1.2125,0.1,0.1625,0.025
0,mixed,common_field,Tit For Tat,3000010000026,1.325,1.2,0.075,0.1,0.0
0,mixed,common_field,Tit For Tat,3000010000028,1.3375,1.15,0.0625,0.1,0.0
0,mixed,common_field,Tit For Tat,3000010000030,1.2625,1.075,0.0375,0.075,0.0
0,mixed,common_field,Tit For Tat,3000010000032,1.425,1.3,0.1125,0.1375,0.0125
0,mixed,common_field,Tit For Tat,3000010000034,1.35,1.1,0.05,0.1,0.0
0,mixed,common_field,Tit For Tat,3000010000036,1.475,1.1625,0.075,0.1375,0.0
0,mixed,common_field,Tit For Tat,3000010000038,1.3,1.05,0.0375,0.0875,0.0125
0,mixed,common_field,Always Defect,3000010000200,1.0625,1.25,0.075,0.0375,0.0125
0,mixed,common_field,Always Defect,3000010000202,1.2,1.325,0.1,0.075,0.0
0,mixed,common_field,Always Defect,3000010000204,1.0625,1.3125,0.0875,0.0375,0.0
0,mixed,common_field,Always Defect,3000010000206,1.05,1.3625,0.1,0.0375,0.0
0,mixed,common_field,Always Defect,3000010000208,1.025,1.4,0.1125,0.0375,0.0125
0,mixed,common_field,Always Defect,3000010000210,0.9625,1.4625,0.125,0.025,0.0125
0,mixed,common_field,Always Defect,3000010000212,1.2,1.1375,0.05,0.0625,0.0
0,mixed,common_field,Always Defect,3000010000214,1.075,1.2625,0.075,0.0375,0.0
0,mixed,common_field,Always Defect,3000010000216,1.1625,1.4125,0.125,0.075,0.0125
0,mixed,common_field,Always Defect,3000010000218,0.9625,1.525,0.1375,0.025,0.0
0,mixed,common_field,Always Defect,3000010000220,1.225,1.2875,0.1,0.0875,0.025
0,mixed,common_field,Always Defect,3000010000222,1.125,1.25,0.075,0.05,0.0
0,mixed,common_field,Always Defect,3000010000224,1.35,1.225,0.0875,0.1125,0.0125
0,mixed,common_field,Always Defect,3000010000226,1.1,1.35,0.1,0.05,0.0
0,mixed,common_field,Always Defect,3000010000228,1.1375,1.3875,0.1125,0.0625,0.0
0,mixed,common_field,Always Defect,3000010000230,1.0625,1.4375,0.125,0.05,0.0125
0,mixed,common_field,Always Defect,3000010000232,0.9625,1.3375,0.0875,0.0125,0.0
0,mixed,common_field,Always Defect,3000010000234,1.2,1.325,0.1,0.075,0.0
0,mixed,common_field,Always Defect,3000010000236,0.95,1.575,0.15,0.025,0.0
0,mixed,common_field,Always Defect,3000010000238,1.0625,1.5,0.1375,0.05,0.0
0,mixed,common_field,Grudger,3000010000400,1.25,1.25,0.0875,0.0875,0.0125
0,mixed,common_field,Grudger,3000010000402,1.1625,1.2875,0.0875,0.0625,0.0
0,mixed,common_field,Grudger,3000010000404,1.075,1.3875,0.1125,0.05,0.0125
0,mixed,common_field,Grudger,3000010000406,1.2375,1.175,0.0625,0.075,0.0
0,mixed,common_field,Grudger,3000010000408,1.1125,1.3,0.0875,0.05,0.0
0,mixed,common_field,Grudger,3000010000410,1.375,1.3125,0.1125,0.125,0.0125
0,mixed,common_field,Grudger,3000010000412,1.1875,1.0,0.0125,0.05,0.0
0,mixed,common_field,Grudger,3000010000414,1.1,1.2875,0.0875,0.05,0.0125
0,mixed,common_field,Grudger,3000010000416,1.3875,1.2625,0.1125,0.1375,0.05
0,mixed,common_field,Grudger,3000010000418,1.0375,1.4125,0.1125,0.0375,0.0
0,mixed,common_field,Grudger,3000010000420,1.3625,1.175,0.075,0.1125,0.0125
